subject number,age,sex,trial number,block number,condition,start lane,visonset lane,obstacle left,obstacle right,finish lane,response time
0,23,2,1,1,1,0,0,4,7,2,9.754
0,23,2,2,1,1,0,0,3,4,2,8.778
0,23,2,3,1,1,0,0,6,7,2,1.412
0,23,2,4,1,1,0,0,2,10,2,1.582
0,23,2,5,1,1,0,0,4,1,1,2.324
0,23,2,6,1,1,0,0,10,6,1,1.178
0,23,2,7,1,1,0,0,3,2,1,2.256
0,23,2,8,1,1,0,0,9,1,1,1.464
0,23,2,9,1,1,0,0,7,2,1,0.924
0,23,2,10,1,1,0,0,5,8,2,1.094
0,23,2,11,1,1,0,0,6,3,1,3.436
0,23,2,12,1,1,0,0,2,5,2,2.576
0,23,2,13,1,1,0,0,1,7,2,1.902
0,23,2,14,1,1,0,0,6,1,1,1.970
0,23,2,15,1,1,0,0,3,9,2,1.026
0,23,2,16,1,1,0,0,2,9,2,1.026
0,23,2,17,1,1,0,0,7,10,2,0.740
0,23,2,18,1,1,0,0,8,10,2,0.890
0,23,2,19,1,1,0,0,9,10,2,0.588
0,23,2,20,1,1,0,0,5,6,2,5.224
0,23,2,21,2,2,0,0,1,3,2,85.982
0,23,2,22,2,2,0,0,5,1,1,1.000
0,23,2,23,2,2,0,0,2,8,2,1.064
0,23,2,24,2,2,0,0,5,4,1,1.520
0,23,2,25,2,2,0,0,2,4,2,1.386
0,23,2,26,2,2,0,0,10,4,1,0.932
0,23,2,27,2,2,0,0,5,3,1,1.470
0,23,2,28,2,2,0,0,5,9,2,0.982
0,23,2,29,2,2,0,0,3,7,2,0.644
0,23,2,30,2,2,0,0,2,1,1,7.198
0,23,2,31,2,2,0,0,4,9,2,0.824
0,23,2,32,2,2,0,0,4,8,2,0.614
0,23,2,33,2,2,0,0,6,4,1,1.452
0,23,2,34,2,2,0,0,2,6,2,1.100
0,23,2,35,2,2,0,0,3,10,2,0.878
0,23,2,36,2,2,0,0,8,1,1,0.746
0,23,2,37,2,2,0,0,1,10,2,0.660
0,23,2,38,2,2,0,0,5,7,2,0.678
0,23,2,39,2,2,0,0,3,8,2,0.626
0,23,2,40,2,2,0,0,5,10,2,0.746
1,27,1,1,1,3,1,1,3,8,2,1.112
1,27,1,2,1,3,2,2,9,7,2,100.000
1,27,1,3,1,3,2,2,4,3,2,100.000
1,27,1,4,1,3,1,1,3,10,2,0.970
1,27,1,5,1,3,2,2,2,1,2,100.000
1,27,1,6,1,3,2,2,9,4,1,1.148
1,27,1,7,1,3,1,1,10,5,1,100.000
1,27,1,8,1,3,2,2,4,5,2,100.000
1,27,1,9,1,3,2,2,7,2,1,1.008
1,27,1,10,1,3,2,2,9,2,1,0.894
