# subject number,age,sex,trial number,block number,condition,start lane,visonset lane,obstacle left,obstacle right,finish lane,response time,years drivers license,hours video games,sds17
1,20,2,1,1,3,2,2,7,2,1,0.528,4,2,7
1,20,2,2,1,3,2,2,3,5,2,100.000,4,2,7
1,20,2,3,1,3,1,1,4,3,1,100.000,4,2,7
1,20,2,4,1,3,2,2,7,6,1,0.246,4,2,7
1,20,2,5,1,3,2,2,3,6,2,100.000,4,2,7
1,20,2,6,1,3,2,2,6,2,1,0.530,4,2,7
1,20,2,7,1,3,2,2,5,2,1,0.524,4,2,7
1,20,2,8,2,4,2,2,4,3,1,2.118,4,2,7
1,20,2,9,2,4,1,1,7,4,1,100.000,4,2,7
1,20,2,10,2,4,2,2,1,6,2,100.000,4,2,7
1,20,2,11,2,4,2,2,5,3,1,1.986,4,2,7
1,20,2,12,2,4,2,2,3,1,1,1.538,4,2,7
1,20,2,13,2,4,2,2,4,2,1,1.338,4,2,7
1,20,2,14,2,4,2,2,4,1,1,1.650,4,2,7
1,20,2,15,3,2,1,1,5,6,2,2.060,4,2,7
1,20,2,16,3,2,1,1,4,2,1,100.000,4,2,7
1,20,2,17,3,2,2,2,7,6,1,1.126,4,2,7
1,20,2,18,3,2,2,2,2,6,2,100.000,4,2,7
1,20,2,19,3,2,2,2,2,7,2,100.000,4,2,7
1,20,2,20,3,2,2,2,1,7,2,100.000,4,2,7
1,20,2,21,3,2,1,1,1,6,2,0.880,4,2,7
1,20,2,22,4,1,1,1,1,4,2,0.916,4,2,7
1,20,2,23,4,1,1,1,2,1,1,100.000,4,2,7
1,20,2,24,4,1,1,1,7,2,1,100.000,4,2,7
1,20,2,25,4,1,2,2,7,6,1,0.874,4,2,7
1,20,2,26,4,1,2,2,6,2,1,0.738,4,2,7
1,20,2,27,4,1,2,2,4,2,1,1.038,4,2,7
1,20,2,28,4,1,2,2,3,1,1,0.976,4,2,7
3,18,1,1,1,2,1,1,6,5,1,100.000,1,0,13
3,18,1,2,1,2,2,2,6,2,1,2.566,1,0,13
3,18,1,3,1,2,1,1,5,1,1,100.000,1,0,13
3,18,1,4,1,2,1,1,3,1,1,100.000,1,0,13
3,18,1,5,1,2,1,1,4,5,1,2.934,1,0,13
3,18,1,6,1,2,2,2,4,7,2,100.000,1,0,13
3,18,1,7,1,2,1,1,3,7,2,2.064,1,0,13
3,18,1,8,2,1,2,2,7,1,1,0.930,1,0,13
3,18,1,9,2,1,2,2,5,4,2,100.000,1,0,13
3,18,1,10,2,1,1,1,2,3,1,100.000,1,0,13
3,18,1,11,2,1,2,2,5,6,2,100.000,1,0,13
3,18,1,12,2,1,2,2,3,4,2,100.000,1,0,13
3,18,1,13,2,1,2,2,1,3,2,100.000,1,0,13
3,18,1,14,2,1,2,2,6,7,2,100.000,1,0,13
3,18,1,15,3,3,2,2,5,6,1,1.086,1,0,13
3,18,1,16,3,3,1,1,4,2,1,100.000,1,0,13
3,18,1,17,3,3,2,2,2,3,2,0.562,1,0,13
3,18,1,18,3,3,2,2,6,7,2,100.000,1,0,13
3,18,1,19,3,3,1,1,4,7,2,0.622,1,0,13
3,18,1,20,3,3,1,1,1,6,2,0.372,1,0,13
3,18,1,21,3,3,2,2,1,2,2,100.000,1,0,13
3,18,1,22,4,4,2,2,7,1,1,0.500,1,0,13
3,18,1,23,4,4,1,1,3,6,1,100.000,1,0,13
3,18,1,24,4,4,1,1,6,4,1,100.000,1,0,13
3,18,1,25,4,4,2,2,2,4,2,100.000,1,0,13
3,18,1,26,4,4,2,2,7,5,1,0.400,1,0,13
3,18,1,27,4,4,2,2,2,6,1,0.992,1,0,13
3,18,1,28,4,4,1,1,2,3,2,1.774,1,0,13
4,21,2,8,2,3,2,2,7,3,1,0.852,4,0,11
4,21,2,9,2,3,2,2,2,6,2,100.000,4,0,11
4,21,2,10,2,3,2,2,6,3,1,0.822,4,0,11
4,21,2,11,2,3,2,2,1,3,2,100.000,4,0,11
4,21,2,12,2,3,2,2,4,6,2,100.000,4,0,11
4,21,2,13,2,3,1,1,3,4,2,0.832,4,0,11
4,21,2,14,2,3,1,1,7,5,1,100.000,4,0,11
4,21,2,1,1,4,2,2,3,5,2,100.000,4,0,11
4,21,2,2,1,4,2,2,1,4,2,100.000,4,0,11
4,21,2,3,1,4,1,1,1,2,2,3.728,4,0,11
4,21,2,4,1,4,2,2,4,5,2,100.000,4,0,11
4,21,2,5,1,4,2,2,2,7,2,100.000,4,0,11
4,21,2,6,1,4,2,2,6,1,1,3.562,4,0,11
4,21,2,7,1,4,2,2,1,3,2,100.000,4,0,11
4,21,2,22,4,1,1,1,2,7,2,0.554,4,0,11
4,21,2,23,4,1,2,2,2,4,2,1.040,4,0,11
4,21,2,24,4,1,1,1,1,2,2,1.572,4,0,11
4,21,2,25,4,1,2,2,5,2,1,0.802,4,0,11
4,21,2,26,4,1,2,2,7,4,1,0.830,4,0,11
4,21,2,27,4,1,2,2,2,6,2,100.000,4,0,11
4,21,2,28,4,1,1,1,4,1,1,1.256,4,0,11
4,21,2,15,3,2,1,1,2,4,2,1.064,4,0,11
4,21,2,16,3,2,1,1,6,1,1,100.000,4,0,11
4,21,2,17,3,2,2,2,1,4,2,100.000,4,0,11
4,21,2,18,3,2,2,2,5,2,1,1.280,4,0,11
4,21,2,19,3,2,1,1,3,4,2,1.686,4,0,11
4,21,2,20,3,2,2,2,6,7,2,100.000,4,0,11
4,21,2,21,3,2,1,1,6,3,1,100.000,4,0,11
5,29,2,1,1,2,1,1,4,6,2,1.692,9,6,14
5,29,2,2,1,2,1,1,3,5,2,1.024,9,6,14
5,29,2,3,1,2,2,2,1,2,2,100.000,9,6,14
5,29,2,4,1,2,2,2,5,7,2,100.000,9,6,14
5,29,2,5,1,2,2,2,2,3,1,3.254,9,6,14
5,29,2,6,1,2,2,2,7,1,1,0.958,9,6,14
5,29,2,7,1,2,2,2,7,2,1,0.708,9,6,14
5,29,2,8,2,1,2,2,3,6,2,100.000,9,6,14
5,29,2,9,2,1,2,2,3,5,2,100.000,9,6,14
5,29,2,10,2,1,1,1,7,5,1,100.000,9,6,14
5,29,2,11,2,1,2,2,6,1,1,0.976,9,6,14
5,29,2,12,2,1,1,1,1,5,2,0.776,9,6,14
5,29,2,13,2,1,1,1,3,7,2,0.738,9,6,14
5,29,2,14,2,1,2,2,6,4,1,0.598,9,6,14
5,29,2,15,3,4,1,2,4,7,2,-0.360,9,6,14
5,29,2,16,3,4,1,1,1,5,2,1.562,9,6,14
5,29,2,17,3,4,2,2,3,4,2,100.000,9,6,14
5,29,2,18,3,4,2,2,7,3,1,0.278,9,6,14
5,29,2,19,3,4,1,1,6,5,1,100.000,9,6,14
5,29,2,20,3,4,2,2,2,5,2,100.000,9,6,14
5,29,2,21,3,4,2,1,7,6,1,-0.392,9,6,14
5,29,2,22,4,3,2,2,2,5,2,100.000,9,6,14
5,29,2,23,4,3,2,2,5,3,1,0.824,9,6,14
5,29,2,24,4,3,1,1,5,1,1,100.000,9,6,14
5,29,2,25,4,3,2,2,7,1,1,0.256,9,6,14
5,29,2,26,4,3,1,1,5,4,1,100.000,9,6,14
5,29,2,27,4,3,2,2,2,7,2,100.000,9,6,14
5,29,2,28,4,3,1,1,4,1,1,100.000,9,6,14
6,21,1,8,2,4,2,2,4,6,2,100.000,4,0,9
6,21,1,9,2,4,2,2,6,3,1,2.680,4,0,9
6,21,1,10,2,4,1,1,5,2,1,100.000,4,0,9
6,21,1,11,2,4,2,2,2,1,2,100.000,4,0,9
6,21,1,12,2,4,2,2,5,1,1,1.618,4,0,9
